Type,XPath,Name
checkbox,/html[1]/body[1]/div[1]/header[1]/div[1]/nav[1]/div[1]/input[1],
search,/html[1]/body[1]/div[1]/header[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/div[1]/input[1],search
hidden,/html[1]/body[1]/div[1]/header[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1],title
checkbox,/html[1]/body[1]/div[1]/header[1]/div[2]/nav[1]/div[1]/nav[1]/div[1]/input[1],
checkbox,/html[1]/body[1]/div[1]/header[1]/div[2]/nav[1]/div[2]/input[1],
checkbox,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/header[1]/nav[1]/div[1]/input[1],
checkbox,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/header[1]/div[1]/input[1],
checkbox,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[1]/div[1]/div[1]/nav[1]/div[2]/input[1],
checkbox,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[1]/div[1]/div[2]/nav[2]/div[1]/input[1],
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[2]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[1]/input[1],skin-client-pref-vector-feature-custom-font-size-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[2]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[2]/input[1],skin-client-pref-vector-feature-custom-font-size-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[2]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[3]/input[1],skin-client-pref-vector-feature-custom-font-size-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[1]/input[1],skin-client-pref-vector-feature-limited-width-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[2]/input[1],skin-client-pref-vector-feature-limited-width-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[1]/input[1],skin-client-pref-skin-theme-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[2]/input[1],skin-client-pref-skin-theme-group
radio,/html[1]/body[1]/div[2]/div[1]/div[3]/main[1]/div[2]/div[1]/nav[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[1]/div[1]/form[1]/div[3]/input[1],skin-client-pref-skin-theme-group
